Id,Start time,Completion time,Email,Name,"Are you an international student at NTHU?
",What is your age group?,What is your gender?,Level of Study,"Frequency of AIS Use
",Information Quality (IQ).The AIS provides accurate information,Information Quality (IQ).The AIS provides complete and sufficient information,Information Quality (IQ).The information from AIS is easy to understand,Information Quality (IQ).The information provided by AIS is up-to-date and timely,System Quality (SQ).The AIS is easy to navigate,System Quality (SQ).The AIS loads quickly and responds promptly,System Quality (SQ).The AIS is reliable and functions without errors.,System Quality (SQ).The overall design/interface of AIS is user-friendly,Service Quality (SERVQ).IT staff respond promptly when I need help with AIS,Service Quality (SERVQ).Support services for AIS are helpful and professional,Service Quality (SERVQ).The university provides sufficient guidance for using AIS,Mobile User Experience (M-UX).AIS is easy to use on my mobile device,Mobile User Experience (M-UX).The mobile interface of AIS is visually clear and well-organized,Mobile User Experience (M-UX).AIS performs smoothly on mobile without lags or errors,Mobile User Experience (M-UX).I can complete my academic tasks efficiently using AIS on mobile,Complementary Assets (CA).Campus Wi-Fi provides reliable access to AIS services,Complementary Assets (CA).I have access to devices that allow me to use AIS effectively,Complementary Assets (CA).The university provides sufficient technological resources to support AIS use,Complementary Assets (CA).The availability of digital infrastructure enhances my ability to use AIS,User Satisfaction (US).I am satisfied with my overall experience using AIS,User Satisfaction (US).AIS meets my expectations for academic services,User Satisfaction (US).The AIS improves my academic efficiency,User Satisfaction (US).I am generally pleased with the quality of AIS.
1,2025/12/9 10:07,2025/12/9 10:09,anonymous,,Yes,20-24,Male,Undergraduate ;,Weekly,Agree,Agree,Neutral,Agree,Neutral ,Neutral ,Disagree,Disagree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Neutral ,Agree,Strongly agree,Neutral,Strongly agree,Disagree,Neutral ,Disagree,Strongly Agree
2,2025/12/9 10:06,2025/12/9 10:11,anonymous,,Yes,20-24,Male,Undergraduate ;,Daily,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Neutral ,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral 
3,2025/12/9 10:08,2025/12/9 10:11,anonymous,,Yes,25-29,Female,Master's;,Weekly,Agree,Neutral,Disagree,Neutral,Strongly Disagree,Disagree,Neutral ,Strongly Disagree,Neutral,Neutral,Disagree,Neutral ,Neutral ,Neutral ,Neutral ,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Neutral ,Disagree
4,2025/12/9 10:07,2025/12/9 10:11,anonymous,,Yes,25-29,Male,Master's;,Weekly,Agree,Disagree,Neutral,Agree,Neutral ,Disagree,Neutral ,Strongly Disagree,Neutral,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Neutral,Disagree,Disagree,Disagree,Neutral 
5,2025/12/9 10:10,2025/12/9 10:14,anonymous,,Yes,20-24,Male,Exchange;Master's;,Daily,Agree,Disagree,Disagree,Disagree,Neutral ,Disagree,Agree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree
6,2025/12/9 10:11,2025/12/9 10:14,anonymous,,Yes,20-24,Female,Master's;Undergraduate ;,Daily,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral ,Neutral ,Neutral,Neutral,Strongly Disagree,Disagree,Neutral ,Neutral ,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Neutral ,Disagree
7,2025/12/9 10:11,2025/12/9 10:15,anonymous,,Yes,20-24,Female,Master's;,Weekly,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral ,Strongly Agree,Agree,Agree,Disagree,Neutral ,Agree,Disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly Agree,Agree,Strongly Agree,Agree
8,2025/12/9 10:10,2025/12/9 10:17,anonymous,,Yes,20-24,Female,Undergraduate ;,Monthly,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Neutral ,Disagree,Neutral,Neutral,Neutral,Neutral ,Disagree,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree
9,2025/12/11 17:10,2025/12/11 17:15,anonymous,,Yes,20-24,Female,Exchange;,Daily,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral ,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Neutral ,Strongly Agree
10,2025/12/11 20:10,2025/12/11 20:14,anonymous,,Yes,20-24,Female,Undergraduate ;,Weekly,Agree,Agree,Neutral,Neutral,Neutral ,Agree,Neutral ,Disagree,Neutral,Agree,Disagree,Agree,Agree,Neutral ,Agree,Agree,Agree,Agree,Agree,Agree,Neutral ,Neutral ,Agree
